block_index,record_id,timestamp,data_hash,previous_hash,block_hash
0,SEC_PREAMBLE,2025-08-01 00:00:00 EST,0139ccf75bec9897a0f8f98f342718142d57cdab68bf828740e6932f12c59660,0000000000000000000000000000000000000000000000000000000000000000,a6c28763deb520129bcc926b9aa2194761aca5ab1ee75372226b593d75829eb9
1,EXECUTIVE_INTELLIGENCE_SUMMARY,2025-08-01 00:00:00 EST,b0d9329961997a9ca3d6ae3079e45a62f7e24bfcc6a9dd81fd96570e5a0400dd,a6c28763deb520129bcc926b9aa2194761aca5ab1ee75372226b593d75829eb9,c3613839b9e1132022d42101f6e306aca80887beace60cb6513ea2dd7e91b85d
2,FIRST_INFORMATION_REPORTS_FIRS__POLICE_LOGS,2025-08-01 00:00:00 EST,498cc5424b761fa1664bfb6141d45c08846fa91137e4be8604abe4f4091ce744,c3613839b9e1132022d42101f6e306aca80887beace60cb6513ea2dd7e91b85d,3ab3df8d91748ee6a898dc569545c903e91f9c639490246d31df07e85ae0e755
3,JANAKIRAMAN_COMMITTEE_INTERIM_FINDINGS_RBI,2025-08-01 00:00:00 EST,468ad29ebad02cf4627b5d7dec062d0f7577e67f2e164eb39e3d4db62b91ca33,3ab3df8d91748ee6a898dc569545c903e91f9c639490246d31df07e85ae0e755,534203d9c619479c0921ffe2f4e3ad68d77a2f49df0093351a6cab3a9b27d11e
4,CALL_DETAIL_RECORDS_CDRS__PAGER_INTERCEPTS,2025-08-01 00:00:00 EST,4708c8302dc829348b548593b5ee239f99e9a2e8c509eebb0359ae6076869a2e,534203d9c619479c0921ffe2f4e3ad68d77a2f49df0093351a6cab3a9b27d11e,b888be729a5dd177aa1977d5582e3504d810acc25bdea72a8e035860e199c50e
5,FIELD_SURVEILLANCE_REPORTS,2025-08-01 00:00:00 EST,364305b090a6a8627d3524f80ff88989dbbc74b43fb1a97ed52bcbbbdbee0ac1,b888be729a5dd177aa1977d5582e3504d810acc25bdea72a8e035860e199c50e,2020e146613c809c0fe30097488d5c8590ecb0328d51bb68e5fd5e68d0f62117
6,FINANCIAL__FORENSIC_TRANSACTION_LOGS,2025-08-01 00:00:00 EST,53ea7f5da5e97de342708f33711c7c88d9fe849d5460b0805331103acdc9151d,2020e146613c809c0fe30097488d5c8590ecb0328d51bb68e5fd5e68d0f62117,eb0479a0508bc0a32552bf98947c30a70f470a7a17c1fe202fa76150f47923c4
7,WITNESS_DEPOSITIONS__INTERROGATIONS,2025-08-01 00:00:00 EST,2935b286b974ebee1952883852a37579b21f0cb711590f58b51dce5803f84ac6,eb0479a0508bc0a32552bf98947c30a70f470a7a17c1fe202fa76150f47923c4,c27a33aede415dc19e6c0a9e1679ddedf619ad4f67ca392611d8cdc00ea94237
8,CRIMINAL_SYNDICATE_MAPPING__LEGAL_FALLOUT,2025-08-01 00:00:00 EST,3ca546f5959623b3d032abc11ac0083854cc53d89193fad249819ec44fbd8472,c27a33aede415dc19e6c0a9e1679ddedf619ad4f67ca392611d8cdc00ea94237,d8def4eea42d441b5af7732c7cdff63ca8a59191f676225cc2ebb0c0957d0b35
9,OPEN_SOURCE__MARKET_GRAPEVINE_INTELLIGENCE_BULLETIN_BOARDS,2025-08-01 00:00:00 EST,4e2e1150d9ee98d2d7f7995a36d1556a29c95ce0d44337a7f167c38d38da5ee7,d8def4eea42d441b5af7732c7cdff63ca8a59191f676225cc2ebb0c0957d0b35,17efa34760ad84650b2ce97425027475d60f722063fa68ec708fb3e350a18cf8
